"function_name"	"formal_names"
"analysis_bundle_table"	"x"
"analysis_manifest_table"	"manifest"
"apply_transformation_recipe"	"new_data|recipe|input_scale|require_outcome|input_unit"
"as_pupil_prediction_draws"	"draws|grid|unit|type|max_cells"
"assess_binary_prior_sensitivity"	"fit|scale_multipliers|chains|iter|warmup|cores|seed|adapt_delta|max_treedepth|refresh|maximum_standardized_shift|review_standardized_shift|retain_fits"
"assess_duration_prior_sensitivity"	"fit|scale_multipliers|chains|iter|warmup|cores|seed|adapt_delta|max_treedepth|refresh|maximum_standardized_shift|review_standardized_shift|retain_fits"
"assess_powerscaled_sensitivity"	"fit|variable|prior_selection|likelihood_selection"
"audit_backend_parity"	"rstan_fit|cmdstanr_fit|variables|mcse_multiplier|absolute_tolerance|relative_sd_tolerance"
"audit_design_support"	"x|contract|separation|strict_readiness"
"audit_duration_boundaries"	"data|contract|allowed_range|censor_col|detect_candidate_columns"
"audit_duration_unit_invariance"	"reference|converted|multiplier|tolerance"
"audit_estimand_invariance"	"reference|alternative|quantity|tolerance"
"audit_fixed_effect_design"	"x|contract|condition_number_review|condition_number_fail|leverage_multiplier"
"audit_missingness_structure"	"x|contract|review_fraction|fail_fraction"
"audit_model_readiness"	"data|contract"
"audit_model_readiness_strict"	"data|contract|condition_warning_fraction|condition_failure_fraction|identifier_unique_fraction|duration_allowed_range|censor_col|run_separation"
"audit_prediction_support"	"fit|newdata"
"audit_pupil_measurement_context"	"x"
"audit_pupil_readiness"	"x|contract"
"audit_random_effects_support"	"x|contract|minimum_repeated_rows|minimum_group_levels|minimum_condition_cell_rows"
"backend_capabilities"	""
"backend_environment_table"	"x"
"backend_parity_table"	"x"
"bayesian_backend_capabilities"	""
"binary_calibration_error"	"x|observed|bins"
"binary_calibration_table"	"x|bins|probs"
"binary_calibration_uncertainty"	"fit|newdata|bins|include_group_effects|ndraws|probs"
"binary_calibration_uncertainty_table"	"x"
"binary_confusion_table"	"x|observed|threshold"
"binary_group_calibration"	"x|group"
"binary_precision_recall_curve"	"x|observed|thresholds"
"binary_prediction_scores"	"x|observed|threshold|epsilon"
"binary_roc_curve"	"x|observed|thresholds"
"binary_threshold_metrics"	"x|observed|thresholds"
"build_model_formula"	"contract"
"capture_gp3bayes_schema"	"x|max_depth"
"check_binary_posterior_predictive"	"fit|draws|seed|pass_probability|review_probability"
"check_binary_ppc_details"	"fit|draws|seed|calibration_bins|sparse_cell_min"
"check_binary_prior_predictive"	"specification|draws|seed|plausible_rate|boundary_probability|extreme_contrast|maximum_degenerate_participant_fraction|maximum_boundary_mass|maximum_extreme_probability"
"check_cmdstan_backend"	"strict"
"check_duration_posterior_predictive"	"fit|draws|seed|pass_probability|review_probability"
"check_duration_ppc_details"	"fit|draws|seed|quantiles|tail_threshold"
