decision	source_type	source	url	implementation_boundary
Gazepoint raw/API field mapping	manufacturer primary documentation	Gazepoint Open Gaze API v2.0	https://www.gazept.com/dl/Gazepoint_API_v2.0.pdf	Recognize documented TIME/POG/pupil/validity fields; do not invent vendor fields.
Gazepoint pupil units	manufacturer primary documentation	Gazepoint Open Gaze API v2.0	https://www.gazept.com/dl/Gazepoint_API_v2.0.pdf	Treat LPD/RPD as pixel diameters and LPUPILD/RPUPILD as metre-valued 3-D pupil diameters; never silently relabel units.
Restricted Gaussian smooth time course	primary software documentation	brms brmsformula documentation	https://paulbuerkner.com/brms/reference/brmsformula.html	Construct only a closed Gaussian identity-link formula; users cannot supply arbitrary formulas or families.
Smooth temporal trajectories	primary software documentation	brms smooth-term documentation	https://paulbuerkner.com/brms/reference/s.html	Use brms/mgcv smooth terms only through package-constructed approved formulas and bounded basis dimensions.
Within-series AR(1)	primary software documentation	brms AR documentation	https://paulbuerkner.com/brms/reference/ar.html	Allow an approved Gaussian AR(1) term by series/sample order only when sampling intervals satisfy the package irregularity guard.
Exact K-fold execution	primary software documentation	brms K-fold documentation	https://paulbuerkner.com/brms/reference/kfold.brmsfit.html	Use explicit folds tied to a declared prediction target; do not default to observation-wise CV as universally appropriate.
Prediction-target-specific CV	primary software documentation	loo cross-validation FAQ	https://mc-stan.org/loo/articles/online-only/faq.html	Distinguish known-trial, new-trial, new-participant, and future-segment targets; partition data to match the target.
Future prediction validation	primary software documentation	loo leave-future-out vignette	https://mc-stan.org/loo/articles/loo2-lfo.html	Use finite chronological future splits for the future-segment target; do not relabel generic LOO as future prediction validation.
Pupillometry interpretation and nuisance structure	primary peer-reviewed methodology	Mathot 2018, Pupillometry: Psychology, Physiology, and Function	https://doi.org/10.5334/joc.18	Treat pupil response as a measurement outcome affected by sensory and physiological factors; never automatically translate dilation into a psychological construct.
Blink/data-loss and preprocessing provenance	primary peer-reviewed methodology	Kret and Sjak-Shie 2019, Preprocessing pupil size data: Guidelines and code	https://doi.org/10.3758/s13428-018-1075-y	Audit blink/interpolation decisions and provenance; do not silently interpolate, smooth, or overwrite upstream preprocessing.
Gaze-position / PFE measurement issue	primary peer-reviewed methodology	Hayes and Petrov 2016, Mapping and correcting the influence of gaze position on pupil size measurements	https://doi.org/10.3758/s13428-015-0588-x	Audit gaze-position/PFE status and support user-supplied corrected-versus-uncorrected sensitivity alternatives; do not implement a universal correction.
Visual luminance/contrast dynamics	primary peer-reviewed methodology	Cai et al. 2024, Open-DPSM	https://doi.org/10.3758/s13428-023-02292-1	Declare/audit luminance and contrast and permit nuisance/sensitivity adjustment; defer full dynamic visual decomposition to 0.5.
Existing R pupil preprocessing ecosystem	primary peer-reviewed software paper	Geller et al. 2020, gazeR	https://doi.org/10.3758/s13428-020-01374-8	Do not duplicate a generic pupil preprocessing pipeline; gp3bayes consumes audited/preprocessed traces and records decisions.
Existing R pupil preprocessing ecosystem	primary peer-reviewed software paper	Forbes 2020, PupillometryR	https://doi.org/10.21105/joss.02285	Keep preprocessing decisions explicit and upstream-compatible rather than replacing established preprocessing packages.
Gazepoint pupillometry validation context	primary peer-reviewed validation study	Rahme et al. 2025, Evaluating the Validity of Gazepoint GP3 HD in Assessing Listening Effort: A Pupillometry Study	https://doi.org/10.1044/2025_AJA-24-00190	Provide first-class Gazepoint interoperability while retaining vendor-neutral statistical contracts and conservative interpretation.
